Sourcekey,MCREXUS1,MCREX_NUS-NAR_1,MCREX_NUS-NAS_1,MCREX_NUS-NBF_1,MCREX_NUS-NBO_1,MCREX_NUS-NBE_1,MCREX_NUS-NBR_1,MCREX_NUS-NIO_1,MCREX_NUS-NBU_1,MCREX_NUS-NCM_1,MCREXCA1,MCREX_NUS-NCI_1,MCREXCH1,M_EPC0_EEX_NUS-NCO_MBBL,MCREX_NUS-NCS_1,MCREX_NUS-NHR_1,MCREX_NUS-NUC_1,MCREX_NUS-NDA_1,MCREX_NUS-NDO_1,MCREX_NUS-NDR_1,MCREX_NUS-NFI_1,MCREX_NUS-NFR_1,MCREX_NUS-NGG_1,MCREX_NUS-NGM_1,MCREX_NUS-NGI_1,MCREX_NUS-NGR_1,MCREX_NUS-NGT_1,MCREXHK1,MCREX_NUS-NIN_1,MCREX_NUS-NID_1,MCREX_NUS-NEI_1,MCREX_NUS-NIS_1,MCREX_NUS-NIT_1,MCREX_NUS-NJM_1,MCREXJA1,MCREXKS1,M_EPC0_EEX_NUS-NLI_MBBL,MCREX_NUS-NLH_1,MCREX_NUS-NMY_1,MCREX_NUS-NMT_1,MCREX_NUS-NRM_1,MCREX_NUS-NMB_1,MCREXMX1,MCREX_NUS-NNL_1,MCREX_NUS-NNA_1,MCREX_NUS-NNZ_1,MCREX_NUS-NNU_1,MCREX_NUS-NNI_1,MCREX_NUS-NNO_1,MCREX_NUS-NPM_1,MCREX_NUS-NPE_1,MCREX_NUS-NRP_1,MCREX_NUS-NPL_1,MCREX_NUS-NPO_1,MCREXRQ1,MCREX_NUS-NRS_1,MCREX_NUS-NST_1,MCREX_NUS-NSN_1,M_EPC0_EEX_NUS-NSF_MBBL,MCREX_NUS-NSP_1,MCREX_NUS-NSW_1,MCREX_NUS-NSZ_1,MCREXTW1,MCREX_NUS-NTH_1,MCREX_NUS-NTO_1,MCREX_NUS-NTD_1,MCREX_NUS-NTU_1,MCREX_NUS-NUR_1,MCREX_NUS-NTC_1,MCREX_NUS-NUK_1,MCREX_NUS-NUY_1,MCREXVE1,MCREX_NUS-NVM_1,MCREXVQ1
Date,U.S. Exports of Crude Oil (Thousand Barrels),U.S. Exports to Argentina of Crude Oil (Thousand Barrels),U.S. Exports to Australia of Crude Oil (Thousand Barrels),U.S. Exports to Bahama Islands of Crude Oil (Thousand Barrels),U.S. Exports to Belarus of Crude Oil (Thousand Barrels),U.S. Exports to Belgium of Crude Oil (Thousand Barrels),U.S. Exports to Brazil of Crude Oil (Thousand Barrels),U.S. Exports to British Indian Ocean Territory of Crude Oil (Thousand Barrels),U.S. Exports to Bulgaria of Crude Oil (Thousand Barrels),U.S. Exports to Cameroon of Crude Oil (Thousand Barrels),U.S. Exports to Canada of Crude Oil (Thousand Barrels),U.S. Exports to Chile of Crude Oil (Thousand Barrels),U.S. Exports to China of Crude Oil (Thousand Barrels),U.S. Exports to Colombia of Crude Oil (Thousand Barrels),U.S. Exports to Costa Rica of Crude Oil (Thousand Barrels),U.S. Exports to Croatia of Crude Oil (Thousand Barrels),U.S. Exports to Curacao of Crude Oil (Thousand Barrels),U.S. Exports to Denmark of Crude Oil (Thousand Barrels),U.S. Exports to Dominica of Crude Oil (Thousand Barrels),U.S. Exports to Dominican Republic of Crude Oil (Thousand Barrels),U.S. Exports to Finland of Crude Oil (Thousand Barrels),U.S. Exports to France of Crude Oil (Thousand Barrels),U.S. Exports to Georgia of Crude Oil (Thousand Barrels),U.S. Exports to Germany of Crude Oil (Thousand Barrels),U.S. Exports to Gibraltar of Crude Oil (Thousand Barrels),U.S. Exports to Greece of Crude Oil (Thousand Barrels),U.S. Exports to Guatemala of Crude Oil (Thousand Barrels),U.S. Exports to Hong Kong of Crude Oil (Thousand Barrels),U.S. Exports to India of Crude Oil (Thousand Barrels),U.S. Exports to Indonesia of Crude Oil (Thousand Barrels),U.S. Exports to Ireland of Crude Oil (Thousand Barrels),U.S. Exports to Israel of Crude Oil (Thousand Barrels),U.S. Exports to Italy of Crude Oil (Thousand Barrels),U.S. Exports to Jamaica of Crude Oil (Thousand Barrels),U.S. Exports to Japan of Crude Oil (Thousand Barrels),U.S. Exports to Korea of Crude Oil (Thousand Barrels),U.S. Exports to Liberia of Crude Oil (Thousand Barrels),U.S. Exports to Lithuania of Crude Oil (Thousand Barrels),U.S. Exports to Malaysia of Crude Oil (Thousand Barrels),U.S. Exports to Malta of Crude Oil (Thousand Barrels),U.S. Exports to Marshall Islands of Crude Oil (Thousand Barrels),U.S. Exports to Martinique of Crude Oil (Thousand Barrels),U.S. Exports to Mexico of Crude Oil (Thousand Barrels),U.S. Exports to Netherlands of Crude Oil (Thousand Barrels),U.S. Exports to Netherlands Antilles of Crude Oil (Thousand Barrels),U.S. Exports to New Zealand of Crude Oil (Thousand Barrels),U.S. Exports to Nicaragua of Crude Oil (Thousand Barrels),U.S. Exports to Nigeria of Crude Oil (Thousand Barrels),U.S. Exports to Norway of Crude Oil (Thousand Barrels),U.S. Exports to Panama of Crude Oil (Thousand Barrels),U.S. Exports to Peru of Crude Oil (Thousand Barrels),U.S. Exports to Philippines of Crude Oil (Thousand Barrels),U.S. Exports to Poland of Crude Oil (Thousand Barrels),U.S. Exports to Portugal of Crude Oil (Thousand Barrels),U.S. Exports to Puerto Rico of Crude Oil (Thousand Barrels),U.S. Exports to Russia of Crude Oil (Thousand Barrels),U.S. Exports to Saint Lucia of Crude Oil (Thousand Barrels),U.S. Exports to Singapore of Crude Oil (Thousand Barrels),U.S. Exports to South Africa of Crude Oil (Thousand Barrels),U.S. Exports to Spain of Crude Oil (Thousand Barrels),U.S. Exports to Sweden of Crude Oil (Thousand Barrels),U.S. Exports to Switzerland of Crude Oil (Thousand Barrels),U.S. Exports to Taiwan of Crude Oil (Thousand Barrels),U.S. Exports to Thailand of Crude Oil (Thousand Barrels),U.S. Exports to Togo of Crude Oil (Thousand Barrels),U.S. Exports to Trinidad and Tobago of Crude Oil (Thousand Barrels),U.S. Exports to Turkiye of Crude Oil (Thousand Barrels),U.S. Exports to Ukraine of Crude Oil (Thousand Barrels),U.S. Exports to United Arab Emirates of Crude Oil (Thousand Barrels),U.S. Exports to United Kingdom of Crude Oil (Thousand Barrels),U.S. Exports to Uruguay of Crude Oil (Thousand Barrels),U.S. Exports to Venezuela of Crude Oil (Thousand Barrels),U.S. Exports to Vietnam of Crude Oil (Thousand Barrels),U.S. Exports to Virgin Islands of Crude Oil (Thousand Barrels)
Jan-20,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-20,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-20,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-20,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-20,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-20,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-20,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-20,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
